"cause","intercept","y","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33"
1,1,NA,0.5,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,NA
1,1,NA,NA,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,0.144337567297406,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
