"","y","X","Z1","Z2","Z3","Z4","Z5"
"1",1,0,-0.111329403785312,-1.15868660965731,-0.435024605903716,-0.426673397479903,1.15850491925842
"2",0,0,-0.473070654641443,0.626296761403175,-0.724279769690091,-0.420827923169496,0.0810138045255006
"3",0,1,-0.324505059322507,-0.257437621695522,-1.89076460090765,0.0381036928897658,1.4172452827879
"4",1,1,-1.59877255138581,1.41167123283105,0.943164966020739,-1.16910822349625,-1.04727024959789
"5",1,1,1.15758268939306,0.0627047616947421,0.924839473336298,0.111737519121242,-1.30892688997327
"6",1,0,-1.493277185309,-1.84328120640405,-0.193339272429688,0.169402458699126,-1.46214855296981
"7",1,1,-0.485732862786452,-0.657279888681828,0.00516476108586855,0.805261860622071,0.0300851385869131
"8",1,1,0.284314344355329,-0.970015885227616,-0.1624274560401,0.98156360910146,-0.966619987550817
"9",1,0,-0.995656273917602,1.64313825482493,1.30515113709036,-0.127398186693819,0.895137213115361
"10",1,1,0.807106937783907,1.7820798556872,0.832593033987932,0.254225696613161,0.538132931987193
"11",1,1,0.415753373261597,-0.832268572367271,-0.0533267628150922,-0.965022607929566,-0.275163461800815
"12",1,1,-1.387560127236,0.419431220118382,-0.035387820224484,-0.660295375302185,0.680898801260698
"13",0,0,0.159989289718885,-0.469395220375035,0.551088804264788,-1.70716855047289,-0.652192268075588
"14",1,1,0.434024592120887,-0.00554909270468762,0.372666217070573,-0.230252873107389,-0.93499695093595
"15",1,1,0.429335990824361,-0.260017219952528,1.72595502104361,-0.570695668849106,-0.0923532335877568
"16",0,1,-0.0887284149766808,-0.62500649480423,0.106705935860124,-1.36206766410081,-1.58672828726389
"17",1,0,0.455026503408156,0.394252703117119,0.346652882847891,-0.355277280230766,-0.602572636318574
"18",1,1,-0.840887930062786,-0.110148794032179,-0.419427308262575,0.471758463557439,-0.704265407113472
"19",0,0,1.27168955168201,1.36921968066346,-1.62488695192451,-0.542664904955879,0.525769953249228
"20",1,0,-1.80420712927725,0.401211947797229,-0.295135021945999,-1.72037261019922,0.540307530503103
"21",1,1,1.0189353949556,2.7005510397158,0.0198331126419424,-0.618313845722789,0.609866204525855
"22",1,0,0.0329285614781291,-0.00992854193891506,1.56192805121472,0.343765586702396,1.10776059889282
"23",1,1,1.45842361077695,0.220228842127757,-1.48678669712545,-0.559656264334592,0.99282447002429
"24",1,0,-0.384209165601412,0.322905502434069,-0.647212495323516,-0.24020287045899,-0.116379365081876
"25",0,1,0.549916372814629,1.156785051637,-1.49500860000257,-1.70575593570764,1.25259018406938
"26",1,1,1.34414934095759,0.468125953805602,0.90138496126348,-0.413450625168954,-0.594093825825747
"27",1,0,-0.260973857026862,-0.633592970766605,-0.729233850070815,0.175481724641819,-0.767459739322492
"28",1,0,-1.42879640133083,-1.42480964016798,-0.895156980787862,0.408410420866103,0.373630125411036
"29",1,1,-1.29094248612079,0.405032395935496,0.425207415269337,0.611552606871103,-0.428351239465409
"30",1,0,-1.78711003515759,-0.385109229537235,-0.082569067619438,-0.819026632224784,-0.117266606364868
"31",0,0,0.170775090503039,-0.495580032936899,-2.65366388779866,-0.519720013596804,-1.31022046610543
"32",1,1,-2.35850190837464,1.89559824411016,1.36355373540144,-0.745120106304721,-1.30604107579179
"33",1,1,-0.653967859219824,0.110373270140674,0.33087702304249,1.11038540332,0.422347879877523
"34",1,0,1.04928613946893,-0.971696488145847,0.818462856154824,-0.620055799118153,0.40076153917537
"35",1,1,-0.444226204670957,0.955819197843786,-1.37795465099505,1.22126921249915,-0.665972728642089
"36",1,1,0.340813226743586,0.47402704132916,1.27382552278099,1.23652143400559,0.636226940426226
"37",1,0,-1.50238386766037,-0.982993058332002,-0.934023786635148,0.534295216596735,1.05940092447085
"38",1,1,1.09567968605106,0.672630986653617,0.791569111061657,1.19151512006658,0.603158218465789
"39",0,0,-0.536621970757822,0.346728361382842,-1.0741475354123,0.0237260003576899,0.178830554063608
"40",1,1,0.764225939297222,-0.159253897928243,0.0177495107924939,-0.718378227019231,2.36352386324682
"41",0,0,-1.49199870845321,-0.894218269372219,-0.328720716586384,0.857192814317316,0.457440413104235
"42",1,1,-0.0138823501084901,2.47537563040874,-0.113884818517173,-0.681114272152999,-0.0126448887720507
"43",1,1,-0.491119297360752,-1.78411113241589,0.882363645806989,-0.434377967573188,-1.32293475741765
"44",1,0,-1.35596059125118,0.56952669515541,0.514200443609365,-0.415508836106674,0.749060980027782
"45",1,1,0.450110124396285,0.596740963471614,0.76437382662659,1.2910106541971,-0.853896817915225
"46",1,1,2.15895798554111,0.489973855932537,-1.09939636596384,-0.451872082830528,-1.20657716874524
"47",0,0,-2.55333343404297,0.925251600223956,-0.817350928079127,-1.68752599556485,-1.71259698674932
"48",0,0,-1.17874297562573,0.841874752618413,0.231472783638093,-0.364966454436216,-0.0464309717227788
"49",0,0,0.394091975701759,0.113509937946194,-0.388857307272577,-0.612045233625709,0.484161247084781
"50",0,0,-0.298394239994989,-1.13795256521637,0.123447875701096,-2.2024362260603,0.994969379705978
"51",0,0,-2.43616749527337,-0.670651802831898,-0.841208697578311,0.197940551823343,-0.532168393590822
"52",0,1,-0.392498999123227,0.21538270459189,-0.763287111380247,-0.260423256157679,0.155752757077836
"53",1,1,1.02999879194904,-0.502264230290525,0.190847234794866,-0.201336563408197,-0.996738562741873
"54",0,0,-0.834415861599094,-0.400450956491695,-0.552817395179199,-0.412756514195375,-0.664954601957998
"55",0,0,-0.941248271502991,-1.13586369675342,-0.490449268792677,-0.798659913855365,0.869488281871804
"56",0,1,-0.149781450745147,0.584376860446024,-0.575056578195967,0.381583204698883,0.861239547135795
"57",1,1,1.04391847129384,-0.784218715629658,-0.572477494772238,0.887106528770437,-0.385380611400252
"58",1,1,-0.271085571719493,-0.477952129153786,1.414863158145,-0.282836279210396,-0.0658428503372571
"59",1,1,0.425964367649411,-0.711888830007586,-1.00411036605739,1.4506740122715,-1.08616856480374
"60",1,0,-0.515522979382969,0.891551908287377,0.556196452909469,-0.805509001192119,2.05095929542671
"61",1,1,0.746363037650686,1.376331095064,0.0698881554838453,-0.844648737464306,0.0100218022231955
"62",1,0,0.438063933832013,-0.149467313363396,2.03078612781435,-0.839443144928021,1.16498257992286
"63",0,1,-0.231916386552818,1.39110557118907,-3.08200735991758,-0.484436785733571,0.558226041162075
"64",1,1,1.21182546263086,-0.163493794825857,-0.636557145152577,-0.492122289020079,0.814546275814509
"65",1,0,-0.84732720469321,0.322546130746617,-0.147369174621392,1.87700191572336,-0.319108311664905
"66",0,1,2.48662314252666,0.00835724996850813,-0.865321095021,-0.425575408428718,-0.135042485489795
"67",1,1,-2.70276241884017,-0.077890411307529,0.427651705329724,-0.509139634162406,-0.406322856303245
"68",1,1,-1.65345311101596,0.242048676104531,-1.14682351358612,1.67891826137789,-1.43741764868459
"69",1,1,-0.717861937606419,-0.102069170003451,0.195271953280849,-1.43200474310376,-0.250116850056068
"70",1,1,1.06997823909176,1.14798734744586,-1.43943844250884,-0.316177520247478,0.583141695472054
"71",1,0,-2.03158203455545,-0.244338333203125,-0.238225717566342,0.526167962142774,1.09740261347214
"72",1,1,0.46015947404292,0.0998527001195534,2.16320956066498,0.63515216392379,-0.194215894183986
"73",1,1,1.31197986556675,-0.0281713901059477,-0.435781014294959,0.636934440359125,-0.198425217428876
"74",0,0,0.572651193009293,-1.30273820093144,-0.86810458666661,-2.31178133963421,0.417554791936223
"75",1,1,0.777999270978556,-0.591083273155948,0.20564049568286,0.359621518739071,-1.84981515864889
"76",0,1,-1.20996407420893,0.0986251999766779,-0.639288679460712,0.425920305285124,-0.337052352326202
"77",1,1,-0.0840639521791186,0.835010590645792,0.653363671765063,1.36094038519115,0.199158922919118
"78",1,1,2.12681102315105,1.60068214810095,0.299958223098582,1.58327009046529,2.2135218702348
"79",1,1,0.641591333428068,0.3708395996686,-0.723920672262285,1.72679117390331,-0.742502906622268
"80",1,1,0.309822827224467,-0.906317435559436,-0.116592035216312,-0.193307684391377,0.405926862339944
